"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1996 week 27";"2433";"1208";"1225";"497";"305";"192";"840";"504";"336";"1096";"399";"697"
"1996 week 28";"2490";"1215";"1275";"490";"287";"203";"896";"514";"382";"1104";"414";"690"
"1996 week 29";"2467";"1220";"1247";"515";"325";"190";"876";"532";"344";"1076";"363";"713"
"1996 week 30";"2500";"1247";"1253";"527";"350";"177";"850";"495";"355";"1123";"402";"721"
"1996 week 31";"2285";"1157";"1128";"506";"326";"180";"773";"460";"313";"1006";"371";"635"
"1996 week 32";"2449";"1250";"1199";"475";"297";"178";"922";"565";"357";"1052";"388";"664"
"1996 week 33";"2357";"1173";"1184";"476";"290";"186";"850";"521";"329";"1031";"362";"669"
"1996 week 34";"2364";"1189";"1175";"508";"329";"179";"832";"503";"329";"1024";"357";"667"
"1996 week 35";"2273";"1154";"1119";"472";"290";"182";"839";"517";"322";"962";"347";"615"
"1996 week 36";"2150";"1081";"1069";"440";"278";"162";"781";"458";"323";"929";"345";"584"
"1996 week 37";"2275";"1111";"1164";"434";"261";"173";"897";"517";"380";"944";"333";"611"
"1996 week 38";"2523";"1278";"1245";"502";"313";"189";"899";"541";"358";"1122";"424";"698"
"1996 week 39";"2582";"1366";"1216";"571";"374";"197";"886";"526";"360";"1125";"466";"659"
"1996 week 40";"2467";"1247";"1220";"505";"321";"184";"857";"519";"338";"1105";"407";"698"
"1996 week 41";"2417";"1220";"1197";"487";"299";"188";"930";"561";"369";"1000";"360";"640"
"1996 week 42";"2377";"1219";"1158";"496";"314";"182";"869";"543";"326";"1012";"362";"650"
"1996 week 43";"2465";"1263";"1202";"495";"320";"175";"877";"527";"350";"1093";"416";"677"
"1996 week 44";"2404";"1245";"1159";"525";"329";"196";"832";"510";"322";"1047";"406";"641"
"1996 week 45";"2513";"1257";"1256";"487";"311";"176";"905";"538";"367";"1121";"408";"713"
"1996 week 46";"2537";"1262";"1275";"542";"315";"227";"942";"535";"407";"1053";"412";"641"
"1996 week 47";"2636";"1329";"1307";"546";"340";"206";"976";"576";"400";"1114";"413";"701"
"1996 week 48";"2591";"1368";"1223";"518";"327";"191";"964";"599";"365";"1109";"442";"667"
"1996 week 49";"2604";"1313";"1291";"506";"303";"203";"996";"585";"411";"1102";"425";"677"
"1996 week 50";"2708";"1357";"1351";"531";"315";"216";"970";"585";"385";"1207";"457";"750"
"1996 week 51";"2773";"1406";"1367";"532";"341";"191";"1006";"615";"391";"1235";"450";"785"
"1996 week 52";"2893";"1463";"1430";"519";"327";"192";"1063";"617";"446";"1311";"519";"792"
"1996 week 53 (2 days)";"858";"426";"432";"157";"101";"56";"307";"178";"129";"394";"147";"247"
"1997 week 1 (5 days)";"2268";"1153";"1115";"386";"240";"146";"740";"453";"287";"1142";"460";"682"
"1997 week 2";"3290";"1552";"1738";"568";"347";"221";"1064";"624";"440";"1658";"581";"1077"
"1997 week 3";"3249";"1586";"1663";"480";"302";"178";"1085";"652";"433";"1684";"632";"1052"
"1997 week 4";"3185";"1585";"1600";"540";"323";"217";"1083";"671";"412";"1562";"591";"971"
"1997 week 5";"3061";"1491";"1570";"495";"312";"183";"1054";"629";"425";"1512";"550";"962"
"1997 week 6";"3012";"1516";"1496";"481";"287";"194";"1028";"617";"411";"1503";"612";"891"
"1997 week 7";"2980";"1512";"1468";"514";"315";"199";"962";"592";"370";"1504";"605";"899"
"1997 week 8";"2807";"1396";"1411";"508";"317";"191";"940";"563";"377";"1359";"516";"843"
"1997 week 9";"2792";"1372";"1420";"520";"326";"194";"943";"559";"384";"1329";"487";"842"
